STT,Mã CK,Tên công ty,Sàn CK
2016,PSP,CTCP Cảng Dịch vụ Dầu khí Đình Vũ,UPCOM
2017,PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ,HNX
2018,PTB,CTCP Phú Tài,HOSE
2019,PTC,CTCP Đầu tư và Xây dựng Bưu điện,HOSE
2020,PTD,CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh,HNX
2021,PTE,CTCP Xi măng Phú Thọ,UPCOM
2022,PTF,Công ty Tài chính TNHH MTV Bưu Điện,KHÁC
2023,PTG,CTCP May Xuất khẩu Phan Thiết,UPCOM
2024,PTH,CTCP Vận tải và Dịch vụ Petrolimex Hà Tây,UPCOM
2025,PTHTKCNThaiNguyen,CTCP Phát Triển Hạ tầng Khu Công nghiệp Thái Nguyên,OTC
2026,PTI,Tổng Công ty cổ phần Bảo hiểm Bưu điện,HNX
2027,PTICC,CTCP Tư vấn Đầu tư và Xây dựng Bưu điện,OTC
2028,PTK,CTCP Luyện kim Phú Thịnh,OTC
2029,PTL,CTCP Victory Capital,HOSE
2030,PTM,CTCP Sản xuất Thương mại và Dịch vụ Ô Tô PTM,OTC
2031,PTO,CTCP Dịch vụ - Xây dựng Công trình Bưu Điện,UPCOM
2032,PTP,CTCP Dịch vụ Viễn thông và In Bưu điện,UPCOM
2033,PTS,CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng,HNX
2034,PTT,CTCP Vận tải Dầu khí Đông Dương,UPCOM
2035,PTV,CTCP Thương mại Dầu khí,UPCOM
2036,PTX,CTCP Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,UPCOM
2037,PV2,CTCP Đầu tư PV2,HNX
2038,PVA,CTCP Tổng Công ty Xây lắp Dầu khí Nghệ An,UPCOM
2039,PVB,CTCP Bọc ống Dầu khí Việt Nam,HNX
2040,PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,HNX
2041,PVCI,CTCP Đầu tư Xây lắp Dầu khí Việt Nam,OTC
2042,PVCME,CTCP Thi Công Cơ giới và Lắp máy Dầu khí,OTC
2043,PVcomBank,Ngân hàng TMCP Đại chúng Việt Nam,OTC
2044,PVD,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí ,HOSE
2045,PVE,Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,UPCOM
2046,PVEIC,Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí,OTC
2047,PVF,Tổng Công ty Tài chính Cổ phẩn Dầu khí Việt Nam,OTC
2048,PVFCCapital,CTCP Quản lý Quỹ đầu tư Tài chính Dầu khí,OTC
2049,PVG,CTCP Kinh doanh LPG Việt Nam,HNX
2050,PVH,CTCP Xây lắp Dầu khí Thanh Hóa,UPCOM
2051,PVI,CTCP PVI,HNX
2052,PVIASSET,CTCP Quản lý Quỹ PVI,OTC
2053,PVID,CTCP Đầu tư và Xây lắp khí,OTC
2054,PVL,CTCP Đầu tư Nhà Đất Việt,HNX
2055,PVM,CTCP Máy - Thiết bị Dầu khí,UPCOM
2056,PVO,CTCP Dầu nhờn PV Oil,UPCOM
2057,PVP,CTCP Vận tải Dầu khí Thái Bình Dương,UPCOM
2058,PVQuangNinh,CTCP Xăng dầu Dầu khí Quảng Ninh,OTC
2059,PVR,CTCP Đầu tư PVR Hà Nội,UPCOM
2060,PVS,Tổng Công ty cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,HNX
2061,PVSH,CTCP Vạn Khởi Thành,OTC
2062,PVST,CTCP Du Lịch Dầu khí Sapa,OTC
2063,PVT,Tổng Công ty cổ phần Vận tải Dầu khí,HOSE
2064,PVThaiNguyen,CTCP Xăng dầu Dầu khí Thái Nguyên,OTC
2065,PVV,CTCP Vinaconex 39,UPCOM
2066,PVX,Tổng Công ty cổ phần Xây lắp Dầu khí Việt Nam,UPCOM
2067,PVY,CTCP Chế tạo Giàn khoan Dầu khí,UPCOM
2068,PWA,CTCP Bất động sản Dầu khí,UPCOM
2069,PWC,Công ty TNHH Price Waterhouse Coopers Việt Nam,KHÁC
2070,PWS,CTCP Cấp thoát nước Phú Yên,UPCOM
2071,PX1,CTCP Xi măng Sông Lam 2,UPCOM
2072,PXA,CTCP Đầu tư và Thương mại Dầu khí Nghệ An,UPCOM
2073,PXC,CTCP Phát triển Đô thị Dầu khí,UPCOM
2074,PXH,CTCP Xây lắp Dầu khí Hà Nội,OTC
2075,PXI,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí,HOSE
2076,PXK,CTCP Đầu tư và Xây lắp Dầu khí Kinh Bắc,OTC
2077,PXL,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn,UPCOM
2078,PXM,CTCP Xây lắp Dầu khí Miền Trung,UPCOM
2079,PXS,CTCP Kết cấu Kim loại và Lắp máy Dầu khí,HOSE
2080,PXT,CTCP Xây lắp Đường ống Bể chứa Dầu khí,UPCOM
2081,PYU,CTCP Môi trường và Công trình Đô thị Phúc Yên,UPCOM
2082,QBR,CTCP Đường sắt Quảng Bình,OTC
2083,QBS,CTCP Xuất nhập khẩu Quảng Bình,HOSE
2084,QCAudit,Công ty TNHH Kiểm toán Quy Chuẩn,KHÁC
2085,QCC,CTCP Đầu tư Xây dựng và Phát triển Hạ tầng Viễn thông,UPCOM
2086,QCG,CTCP Quốc Cường Gia Lai,HOSE
2087,QHD,CTCP Que hàn điện Việt Đức,HNX
2088,QHW,CTCP Nước khoáng Quảng Ninh,UPCOM
2089,QLD,CTCP Quản lý và Xây dựng Giao thông Lạng Sơn,UPCOM
2090,QLT,CTCP Quản lý Bảo trì Đường thủy Nội địa Số 10,UPCOM
2091,QNAASC,Công ty TNHH Dịch vụ Tư vấn Tài chính Kế toán Kiểm toán Quảng Ninh,KHÁC
2092,QNC,CTCP Xi măng và Xây dựng Quảng Ninh,UPCOM
2093,QNP,CTCP Cảng Quy Nhơn,OTC
2094,QNS,CTCP Đường Quảng Ngãi,UPCOM
2095,QNSC,CTCP Cung ứng Tàu biển Quảng Ninh,OTC
2096,QNT,Trung tâm Tư vấn xây dựng thị xã Điện Bàn,UPCOM
2097,QNU,CTCP Môi trường Đô thị Quảng Nam,UPCOM
2098,QNW,CTCP Cấp thoát nước và Xây dựng Quảng Ngãi,UPCOM
2099,QPH,CTCP Thủy điện Quế Phong,UPCOM
2100,QSP,CTCP Tân Cảng Quy Nhơn,UPCOM
2101,QST,CTCP Sách và Thiết bị Trường học Quảng Ninh,HNX
2102,QTC,CTCP Công trình Giao thông Vận tải Quảng Nam,HNX
2103,QTP,CTCP Nhiệt điện Quảng Ninh,UPCOM
2104,QuangMinh,Công ty TNHH Kiểm toán Quang Minh,KHÁC
2105,QuangtruongQT,CTCP Thương mại Dịch vụ Quảng trường Quốc tế,OTC
2106,QuyDauTuVN,CTCP Quản lý Quỹ đầu tư Việt Nam,OTC
2107,QuyVCBF,Quỹ đầu tư Cân bằng Chiến lược VCBF,OTC
2108,QuyVietCat,CTCP Quản lý Quỹ Việt Cát,OTC
2109,QVA,Công ty TNHH Kiểm toán Quảng Việt,KHÁC
2110,RAL,CTCP Bóng đèn Phích nước Rạng Đông,HOSE
2111,RAT,CTCP Vận tải và Thương mại Đường sắt,UPCOM
2112,RauQua1,CTCP Xuất nhập khẩu Rau Quả I,OTC
2113,RBC,CTCP Công nghiệp và Xuất nhập khẩu Cao su,UPCOM
2114,RCC,CTCP Tổng Công ty Công trình Đường sắt,UPCOM
2115,RCD,CTCP  Xây dựng - Địa ốc Cao su,UPCOM
2116,RCL,CTCP Địa ốc Chợ Lớn,HNX
2117,RDP,CTCP Rạng Đông Holding,HOSE
2118,RECO,CTCP Cơ khí Cao su,OTC
2119,REE,CTCP Cơ Điện Lạnh,HOSE
2120,REM,CTCP Tu bổ Di tích Trung ương - Vinaremon,OTC
2121,REN,CTCP Xây dựng và Đầu tư KDL Sinh Thái,OTC
2122,RES10,CTCP Địa ốc 10,OTC
2123,RESCO8,CTCP Địa  ốc 8,OTC
2124,RESCONHA,CTCP Phát triển và Kinh doanh Nhà,KHÁC
2125,RGC,CTCP Đầu tư PV - Inconess,UPCOM
2126,RHC,CTCP Thủy điện Ry Ninh II,OTC
2127,RHN,CTCP Đường sắt Hà Ninh,OTC
2128,RIC,CTCP Quốc tế Hoàng Gia,HOSE
2129,Ricons,CTCP Tập đoàn Đầu tư Xây dựng Ricons,OTC
2130,RLC,CTCP Đường bộ Lào Cai,OTC
2131,RNG,CTCP Quản lý Quỹ Đối tác Toàn cầu,OTC
2132,ROS,CTCP Xây dựng FLC Faros,HOSE
2133,ROSE,CTCP Chứng khoán Globalmind Capital,OTC
2134,RoyalVN,Công ty Tư vấn Kiểm toán Hoàng Gia Việt Nam,KHÁC
2135,RTB,CTCP Cao su Tân Biên,UPCOM
2136,RTH,CTCP Đường sắt Thanh Hóa,OTC
2137,RTS,CTCP Thông tin Tín hiệu Đường sắt Đà Nẵng,OTC
2138,RUID,CTCP Đầu tư Phát triển Hạ tầng và Đô thị Đường sắt,OTC
2139,RUSCO,CTCP Kho vận và Dịch vụ Hàng hóa Cao su,OTC
2140,S12,CTCP Sông Đà 12,UPCOM
2141,S27,CTCP Sông Đà 27,UPCOM
2142,S33,CTCP Mía đường 333,OTC
2143,S4A,CTCP Thủy điện Sê San 4A,HOSE
2144,S55,CTCP Sông Đà 505,HNX
2145,S64,CTCP Sông Đà 6.04,OTC
2146,S72,CTCP Sông Đà 7.02,UPCOM
2147,S74,CTCP Sông Đà 7.04,UPCOM
2148,S91,CTCP Sông Đà 9.01,OTC
2149,S96,CTCP Sông Đà 9.06,UPCOM
2150,S99,CTCP SCI,HNX
2151,SAAC,Công ty TNHH Kế toán và Kiểm toán Phương Nam,KHÁC
2152,SAB,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn,HOSE
2153,SabecoMienDong,CTCP Thương mại Sabeco Miền Đông,OTC
2154,SabecoNTB,CTCP Thương mại Bia Sài Gòn Nam Trung Bộ,OTC
2155,SabecoSongHau,CTCP Thương mại Sabeco Sông Hậu,OTC
2156,SabecoTayNguyen,CTCP Thương mại Bia Sài Gòn Tây Nguyên,OTC
2157,Sabibeco,CTCP Tập đoàn Bia Sài Gòn - Bình Tây,OTC
2158,SAC,CTCP Xếp dỡ và Dịch vụ Cảng Sài Gòn,UPCOM
2159,SachBinhDuong,CTCP Sách - Thiết bị Giáo dục Bình Dương,OTC
2160,SachHoaBinh,CTCP Sách và Thiết bị Trường học Hòa Bình,OTC
2161,SachThanhHoa,CTCP Sách và Thiết bị Trường học Thanh Hóa,OTC
2162,Sadaco,CTCP Phát triển Sản xuất Thương mại Sài Gòn,OTC
2163,SAF,CTCP Lương thực Thực phẩm Safoco,HNX
2164,SAGEL,CTCP Điện tử và Dịch vụ Công nghiệp Sài Gòn,OTC
2165,SAGRI,Tổng Công ty Nông nghiệp Sài Gòn - TNHH MTV,KHÁC
2166,Saicom,CTCP Đầu Tư và Xây dựng Bưu Chính Viễn Thông,OTC
2167,SAIGON5,Công ty TNHH MTV Xây dựng Thương mại Sài Gòn 5 ,OTC
2168,SaiGonAir,CTCP Sài Gòn Sân Bay,OTC
2169,SaiGonART,CTCP Mỹ thuật Sài Gòn,OTC
2170,SaiGonAuditing,Công ty TNHH Kiểm toán - Thuế - Tư vấn Sài Gòn,KHÁC
2171,SaiGonCapital,CTCP Quản lý Quỹ Sài Gòn,OTC
2172,SAIGONIPD,Công ty TNHH MTV Phát triển Khu Công nghiệp Sài Gòn,KHÁC
2173,SaiGonNinhChu,CTCP Du lịch Sài Gòn Ninh Chữ,OTC
2174,SaiGonXanh,CTCP Đầu tư Phát triển Địa Ốc Sài Gòn Xanh,OTC
2175,SAL,CTCP Trục vớt Cứu hộ Việt Nam,UPCOM
2176,SAM,CTCP SAM HOLDINGS,HOSE
2177,SAMCO,Tổng Công ty Cơ Khí Giao thông Vận tải Sài Gòn TNHH MTV,KHÁC
2178,SamSet,CTCP Vận tải và Dịch vụ Hàng Hải Cảng Sài Gòn,OTC
2179,SanglapAchau,Công ty TNHH Kiểm toán Tư vấn Sáng lập Á Châu,KHÁC
2180,SaoViet,Công ty TNHH Kiểm toán Sao Việt,KHÁC
2181,SAP,CTCP In Sách giáo khoa Thành phố Hồ Chí Minh,UPCOM
2182,Sapasco,CTCP Bao bì và Dịch vụ Sam Thịnh,OTC
2183,SAS,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất,UPCOM
2184,SATICO,Công ty TNHH MTV Satra Tiền Giang,KHÁC
2185,SATRA,Tổng Công ty Thương mại Sài Gòn TNHH MTV,KHÁC
2186,SatraTayNam,Công ty TNHH MTV Satra Tây Nam,KHÁC
2187,SAV,CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex,HOSE
2188,SB1,CTCP Bia Sài Gòn - Nghệ Tĩnh,UPCOM
2189,SBA,CTCP Sông Ba,HOSE
2190,SBBS,CTCP Chứng khoán Saigonbank Berjaya,OTC
2191,SBC,CTCP Vận tải và Giao nhận Bia Sài Gòn,OTC
2192,SBD,CTCP Công nghệ Sao Bắc Đẩu,UPCOM
2193,SBF,CTCP Quản lý Quỹ Sabeco,OTC
2194,SBF1,Quỹ đầu tư Sabeco 1,KHÁC
2195,SBH,CTCP Thủy điện Sông Ba Hạ,UPCOM
2196,SBL,CTCP Bia Sài Gòn - Bạc Liêu,UPCOM
2197,SBM,CTCP Đầu tư Phát triển Bắc Minh,UPCOM
2198,SBR,CTCP Cao su Sông Bé,UPCOM
2199,SBS,CTCP Chứng khoán Ngân hàng Sài Gòn Thương Tín,UPCOM
2200,SBT,CTCP Thành Thành Công - Biên Hòa,HOSE
2201,SBV,CTCP Siam Brothers Việt Nam,HOSE
2202,SC5,CTCP Xây dựng Số 5,HOSE
2203,SCA,CTCP Nông nghiệp Sông Con,UPCOM
2204,SCB,Ngân hàng TMCP Sài Gòn,OTC
2205,SCC,CTCP Thương mại Đầu tư SHB,UPCOM
2206,SCCV,CTCP Than Miền Nam - Vinacomin,OTC
2207,SCD,CTCP Nước giải khát Chương Dương,HOSE
2208,SCFC,CTCP Lương thực Nam Trung Bộ,OTC
2209,SCG,CTCP Xây dựng SCG,HNX
2210,SCH,CTCP Thủy điện Sông Chảy 5,OTC
2211,SCI,CTCP SCI E&C,HNX
2212,SCIC,Tổng Công ty Đầu tư và Kinh doanh Vốn Nhà nước,KHÁC
2213,SCJ,CTCP Xi măng Sài Sơn,UPCOM
2214,SCJSC,CTCP Sài Gòn - Cam Ranh,OTC
2215,SCL,CTCP Sông Đà Cao Cường,UPCOM
2216,SCO,CTCP Công nghiệp Thủy sản,UPCOM
2217,SCR,CTCP Địa ốc Sài Gòn Thương Tín,HOSE
2218,SCS,CTCP Dịch vụ Hàng hóa Sài Gòn,HOSE
2219,SCV,CTCP Muối Việt Nam,UPCOM
2220,SCY,CTCP Đóng tàu Sông Cấm,UPCOM
2221,SD1,CTCP Sông Đà 1,UPCOM
2222,SD2,CTCP Sông Đà 2,HNX
2223,SD3,CTCP Sông Đà 3,UPCOM
2224,SD4,CTCP Sông Đà 4,HNX
2225,SD5,CTCP Sông Đà 5,HNX
2226,SD6,CTCP Sông Đà 6,HNX
2227,SD7,CTCP Sông Đà 7,UPCOM
2228,SD8,CTCP Sông Đà 8,UPCOM
2229,SD9,CTCP Sông Đà 9,HNX
2230,SDA,CTCP Simco Sông Đà,HNX
2231,SDB,CTCP Sông Đà 207,UPCOM
2232,SDBP,CTCP Sông Đà Bình Phước,OTC
2233,SDC,CTCP Tư vấn Sông Đà,HNX
2234,SDD,CTCP Đầu tư và Xây lắp Sông Đà,UPCOM
2235,SDE,CTCP Kỹ thuật Điện Sông Đà,OTC
2236,SDF,Công ty Tài chính Cổ phần Sông Đà,OTC
2237,SDG,CTCP Sadico Cần Thơ,HNX
2238,SDH,CTCP Xây dựng Hạ tầng Sông Đà,UPCOM
2239,SDI,CTCP Đầu Tư và Phát triển Đô Thị Sài Đồng,KHÁC
2240,SDJ,CTCP Sông Đà 25,UPCOM
2241,SDK,CTCP Cơ khí Luyện kim,UPCOM
2242,SDL,CTCP Sông Đà - Hoàng Long,OTC
2243,SDN,CTCP Sơn Đồng Nai,HNX
2244,SDNT,CTCP Sông Đà - Nha Trang,OTC
2245,SDP,CTCP SDP,UPCOM
2246,SDS,CTCP Xây lắp và Đầu tư Sông Đà,OTC
2247,SDT,CTCP Sông Đà 10,HNX
2248,SDU,CTCP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,HNX
2249,SDV,CTCP Dịch vụ Sonadezi,UPCOM
2250,SDX,CTCP Phòng cháy Chữa cháy và Đầu tư Xây dựng Sông Đà,UPCOM
2251,SDY,CTCP Xi măng Sông Đà Yaly,UPCOM
2252,SEA,Tổng Công ty Thủy sản Việt Nam - CTCP,UPCOM
2253,SeafoodF17,CTCP Nha Trang Seafoods - F17,OTC
2254,SeASecurities,CTCP Chứng khoán Asean,OTC
2255,SEB,CTCP Đầu tư và Phát triển Điện Miền Trung,HNX
2256,SEC,CTCP Mía đường - Nhiệt điện Gia Lai,OTC
2257,SED,CTCP Đầu tư và Phát triển Giáo dục Phương Nam,HNX
2258,SEL,CTCP Sông Đà 11 Thăng Long,OTC
2259,SEP,CTCP Tổng Công ty Thương mại Quảng Trị,UPCOM
2260,Serrano,CTCP Serrano Việt Nam,OTC
2261,SFA1,Quỹ đầu tư Chứng khoán Sài Gòn A1,KHÁC
2262,SFA2,Quỹ đầu tư Chứng khoán Sài Gòn A2,KHÁC
2263,SFC,CTCP Nhiên liệu Sài Gòn,HOSE
2264,SFG,CTCP Phân Bón Miền Nam,HOSE
2265,SFI,CTCP Đại lý Vận tải SAFI,HOSE
2266,SFN,CTCP Dệt lưới Sài Gòn,HNX
2267,SFT,CTCP Softech,OTC
2268,SGAudit,Công ty TNHH Kiểm toán và Tin học Sài Gòn,KHÁC
2269,SGB,Ngân hàng TMCP Sài Gòn Công Thương,UPCOM
2270,SGC,CTCP Xuất nhập khẩu Sa Giang,HNX
2271,SGCLInresco,CTCP Đầu tư và Địa ốc Sài Gòn Chợ Lớn,OTC
2272,SGD,CTCP Sách Giáo dục tại Thành phố Hồ Chí Minh,HNX
2273,SGDiamond,CTCP Sài Gòn Kim Cương,OTC
2274,SGH,CTCP Khách sạn Sài Gòn,HNX
2275,SGI,CTCP Đầu tư Phát triển Sài Gòn 3 Group,UPCOM
2276,SGIC,CTCP Quản lý Quỹ đầu tư SGI,OTC
2277,SGN,CTCP Phục vụ Mặt đất Sài Gòn,HOSE
2278,SGNAudit,Công ty TNHH Kiểm toán và Tư vấn Tài chính Kế toán SGN,KHÁC
2279,SGO,CTCP Dầu thực vật Sài Gòn,UPCOM
2280,SGP,CTCP Cảng Sài Gòn,UPCOM
2281,SGPC,CTCP Giấy Sài Gòn,OTC
2282,SGR,CTCP Tổng CTCP Địa ốc Sài Gòn,HOSE
2283,SGS,CTCP Vận tải biển Sài Gòn,UPCOM
2284,SGT,CTCP Công nghệ Viễn Thông Sài Gòn,HOSE
2285,SHA,CTCP Sơn Hà Sài Gòn,HOSE
2286,SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,HOSE
2287,SHBFinance,Công ty TNHH MTV Ngân hàng TMCP Sài Gòn - Hà Nội,KHÁC
2288,SHBS,CTCP Chứng khoán SHB,OTC
2289,SHBVinacomin,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội,OTC
2290,SHC,CTCP Hàng hải Sài Gòn,UPCOM
2291,SHE,CTCP Phát triển năng lượng Sơn Hà,HNX
2292,SHF,CTCP Quản lý Quỹ đầu tư Sài Gòn - Hà Nội,OTC
2293,SHG,Tổng Công ty cổ phần Sông Hồng,UPCOM
2294,SHI,CTCP Quốc tế Sơn Hà,HOSE
2295,SHINEC,CTCP Công nghiệp Tàu thủy Shinec,OTC
2296,Shinhan,Ngân hàng TNHH MTV Shinhan Việt Nam,KHÁC
2297,ShinhanFi,Công ty Tài chính TNHH MTV Shinhan Việt Nam,KHÁC
2298,Shinhanvina,Ngân hàng Liên doanh Shinhanvina,KHÁC
2299,SHL,CTCP Đầu tư Sông Hồng - Thăng Long,OTC
2300,SHN,CTCP Đầu tư Tổng hợp Hà Nội,HNX
2301,SHP,CTCP Thủy điện Miền Nam,HOSE
2302,SHS,CTCP Chứng khoán Sài Gòn - Hà Nội,HNX
2303,SHV,CTCP Hải Việt,OTC
2304,SHX,CTCP Sài Gòn Hỏa xa,UPCOM
2305,SIC,CTCP ANI,HNX
2306,SID,CTCP Đầu tư Phát triển Sài Gòn Co.op,UPCOM
2307,SIG,CTCP Đầu tư và Thương mại Sông Đà,UPCOM
2308,SII,CTCP Hạ tầng Nước Sài Gòn,HOSE
2309,SIP,CTCP Đầu tư Sài Gòn VRG,UPCOM
2310,SIV,CTCP SIVICO,UPCOM
2311,SJ1,CTCP Nông nghiệp Hùng Hậu,HNX
2312,SJC,CTCP Sông Đà 1.01,UPCOM
2313,SJCS,CTCP Chứng khoán ASAM,OTC
2314,SJD,CTCP Thủy điện Cần Đơn,HOSE
2315,SJE,CTCP Sông Đà 11,HNX
2316,SJF,CTCP Đầu tư Sao Thái Dương,HOSE
2317,SJG,Tổng Công ty Sông Đà - CTCP,UPCOM
2318,SJM,CTCP Sông Đà 19,UPCOM
2319,SJS,CTCP Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,HOSE
2320,SKG,CTCP Tàu cao tốc Superdong - Kiên Giang,HOSE
2321,SKH,CTCP Nước giải khát Sanest Khánh Hòa,UPCOM
2322,SKN,CTCP Nước giải khát Sanna Khánh Hòa,UPCOM
2323,SKS,CTCP Công trình Giao thông Sông Đà,OTC
2324,SKV,CTCP Nước giải khát Yến sào Khánh Hòa,UPCOM
2325,SLC,CTCP Dịch vụ Xuất khẩu Lao động và Chuyên gia,OTC
2326,SLD,CTCP Địa ốc Sacom,OTC
2327,SLS,CTCP Mía Đường Sơn La,HNX
2328,SMA,CTCP Thiết bị Phụ tùng Sài Gòn,HOSE
2329,Smartlink,CTCP Dịch vụ Thẻ Smartlink,OTC
2330,SMB,CTCP Bia Sài Gòn - Miền Trung,HOSE
2331,SMC,CTCP Đầu tư Thương mại SMC,HOSE
2332,SME,CTCP Chứng khoán SME,OTC
2333,SMEC,CTCP Quản lý Quỹ Amber,OTC
2334,SMN,CTCP Sách và Thiết bị Giáo dục Miền Nam,HNX
2335,SMT,CTCP Sametel,HNX
2336,SMVC,CTCP Seoul Metal Việt Nam,OTC
2337,SNC,CTCP Xuất nhập khẩu Thủy sản Năm Căn,UPCOM
2338,SNG,CTCP Sông Đà 10.1,OTC
2339,SNZ,Tổng Công ty cổ phần Phát triển Khu Công nghiệp,UPCOM
2340,SocTrang,CTCP Thủy sản Sóc Trăng,OTC
2341,SoiTraLy,CTCP Sợi Trà Lý,OTC
2342,SON,CTCP Cung ứng Nhân lực Quốc tế và Thương mại,UPCOM
2343,Sonacon,CTCP Xây lắp Sonacons,OTC
2344,SonBachTuyet,CTCP Sơn Bạch Tuyết,OTC
2345,SonChatDeo,CTCP Sơn - Chất Dẻo,OTC
2346,SongDa,CTCP Vật liệu Xây dựng Sông Đà,OTC
2347,SongDa109,CTCP Sông Đà 10.9,OTC
2348,SongDa17,CTCP Sông Đà 17,OTC
2349,SongDaHoangLien,CTCP Thủy điện Sông Đà - Hoàng Liên,OTC
2350,SongHau,CTCP Chế biến Thực phẩm Sông Hậu,OTC
2351,SongHong,CTCP Năng lượng Sông Hồng,OTC
2352,SonlaUrenco,CTCP Môi trường và Dịch vụ Đô thị Sơn La,KHÁC
2353,SonTra,CTCP Đầu tư Phong Phú Sơn Trà,OTC
2354,SOSAL,CTCP Tập đoàn Muối Miền Nam,OTC
2355,SOV,CTCP Mắt kính Sài Gòn,OTC
2356,Sovico,CTCP Sovico,OTC
2357,SP2,CTCP Thủy điện Sử Pán 2,UPCOM
2358,SPA,CTCP Bao bì Sài Gòn,UPCOM
2359,SPB,CTCP Sợi Phú Bài,UPCOM
2360,SPC,CTCP Bảo vệ Thực vật Sài Gòn,HNX
2361,SPD,CTCP Xuất nhập khẩu Thủy sản Miền Trung,UPCOM
2362,SPH,CTCP Xuất nhập khẩu Thủy sản Hà Nội,UPCOM
2363,SPI,CTCP Spiral Galaxy,HNX
2364,SPM,CTCP SPM,HOSE
2365,SPP,CTCP Bao bì Nhựa Sài Gòn,UPCOM
2366,SPS,CTCP Dịch vụ Dầu khí Sài Gòn,OTC
2367,SPT,CTCP Dịch vụ Bưu chính Viễn thông Sài Gòn,OTC
2368,SPTAudit,Công ty TNHH Định giá và Kiểm toán SPT,KHÁC
2369,SPV,CTCP Thủy Đặc sản,UPCOM
2370,SQC,CTCP Khoáng sản Sài Gòn - Quy Nhơn,UPCOM
2371,SRA,CTCP Sara Việt Nam,HNX
2372,SRB,CTCP Tập đoàn Sara,UPCOM
2373,SRC,CTCP Cao su Sao Vàng,HOSE
2374,SRF,CTCP Searefico,HOSE
2375,SRT,CTCP Vận tải Đường sắt Sài Gòn,UPCOM
2376,SSAudit,Công ty TNHH Tư vấn - Kiểm toán S&S,KHÁC
2377,SSB,Ngân hàng TMCP Đông Nam Á,HOSE
2378,SSC,CTCP Giống cây trồng Miền Nam,HOSE
2379,SSF,CTCP Giáo dục G Sài Gòn,UPCOM
2380,SSG,CTCP Vận tải biển Hải Âu,UPCOM
2381,SSGGroup,CTCP Tập đoàn S.S.G,OTC
2382,SSH,CTCP Phát triển Sunshine Homes,UPCOM
2383,SSI,CTCP Chứng khoán SSI,HOSE
2384,SSIAM,Công ty TNHH Quản lý Quỹ SSI,KHÁC
2385,SSIIMF,Quỹ đầu tư Thành viên SSI,KHÁC
2386,SSISCA,Quỹ đầu tư Lợi thế Cạnh tranh Bền vững SSI,OTC
2387,SSIVF,Quỹ Tầm Nhìn SSI,KHÁC
2388,SSM,CTCP Chế tạo kết cấu Thép Vneco.SSM,HNX
2389,SSN,CTCP Xuất nhập khẩu Thủy sản Sài Gòn,UPCOM
2390,SSS,CTCP Sông Đà 6.06,OTC
2391,SST,CTCP Thương mại Bia Sài Gòn Sông Tiền,OTC
2392,SSU,CTCP Môi trường Đô thị Sóc Sơn,UPCOM
2393,SSV,Công ty TNHH Chứng khoán Shinhan Việt Nam,KHÁC
2394,ST8,CTCP Siêu Thanh,HOSE
2395,StandardAudit,Công ty TNHH Kiểm toán Tiêu Chuẩn,KHÁC
2396,StandardChartered,Ngân hàng TNHH MTV Standard Chartered Việt Nam,KHÁC
2397,STB,Ngân hàng TMCP Sài Gòn Thương Tín,HOSE
2398,STC,CTCP Sách và Thiết bị Trường học Thành phố Hồ Chí Minh,HNX
2399,STD,CTCP Bia - Nước giải khát Sài Gòn - Tây Đô,OTC
2400,STG,CTCP Kho vận Miền Nam,HOSE
2401,STH,CTCP Phát hành Sách Thái Nguyên,UPCOM
2402,STI,CTCP Đầu tư Sài Gòn Thương Tín,OTC
2403,STJ,CTCP Vận tải Sonadezi,OTC
2404,STK,CTCP Sợi Thế Kỷ,HOSE
2405,STL,CTCP Sông Đà Thăng Long,UPCOM
2406,STP,CTCP Công nghiệp Thương mại Sông Đà,HNX
2407,STS,CTCP Dịch vụ Vận tải Sài Gòn,UPCOM
2408,STSC,CTCP Chứng khoán STSC,OTC
2409,STT,CTCP Vận chuyển Sài Gòn Tourist,UPCOM
2410,STU,CTCP Môi Trường và Công trình Đô Thị Sơn Tây,OTC
2411,STV,CTCP Chế tác Đá Việt Nam,OTC
2412,STW,CTCP Cấp nước Sóc Trăng,UPCOM
2413,SUM,CTCP Đo đạc và Khoáng sản,OTC
2414,SunCapital,CTCP Quản lý Quỹ đầu tư Chứng khoán Thái Dương,OTC
